name,timestamp
person,2025-06-15 20:40:16
airplane,2025-06-15 20:40:16
refrigerator,2025-06-15 20:40:24
train,2025-06-15 20:40:25
book,2025-06-15 20:49:15
sink,2025-06-15 20:49:16
bottle,2025-06-15 20:49:18
tv,2025-06-15 20:49:35
cat,2025-06-15 20:49:37
car,2025-06-15 20:49:46
cell phone,2025-06-15 20:50:03
dog,2025-06-15 20:51:03
scissors,2025-06-15 20:53:36
donut,2025-06-15 20:53:54
toilet,2025-06-15 20:53:56
Face,2025-06-15 21:52:03
Khoa,2025-06-16 23:48:33
unknown,2025-06-16 23:50:54
Phong,2025-06-16 23:51:15
Phuc,2025-06-16 23:51:38
